CITY,LAT,LON,POLLEN_CODE,VALUE,CATEGORY,COLOR_RED,COLOR_GREEN,COLOR_BLUE
ADANA,37.0,35.3213333,GRASS,2,Low,0.5176471,0.8117647,0.2
ADANA,37.0,35.3213333,TREE,1,Very Low,,0.61960787,0.22745098
ADANA,37.0,35.3213333,WEED,1,Very Low,,0.61960787,0.22745098
ADIYAMAN,37.7641667,38.2761667,GRASS,2,Low,0.5176471,0.8117647,0.2
ADIYAMAN,37.7641667,38.2761667,TREE,1,Very Low,,0.61960787,0.22745098
ADIYAMAN,37.7641667,38.2761667,WEED,1,Very Low,,0.61960787,0.22745098
AFYONKARAHİSAR,38.76376,30.54034,GRASS,2,Low,0.5176471,0.8117647,0.2
AFYONKARAHİSAR,38.76376,30.54034,TREE,1,Very Low,,0.61960787,0.22745098
AFYONKARAHİSAR,38.76376,30.54034,WEED,1,Very Low,,0.61960787,0.22745098
AĞRI,39.7216667,43.0566667,GRASS,1,Very Low,,0.61960787,0.22745098
AĞRI,39.7216667,43.0566667,TREE,1,Very Low,,0.61960787,0.22745098
AĞRI,39.7216667,43.0566667,WEED,1,Very Low,,0.61960787,0.22745098
AMASYA,40.65,35.8333333,GRASS,2,Low,0.5176471,0.8117647,0.2
AMASYA,40.65,35.8333333,TREE,1,Very Low,,0.61960787,0.22745098
AMASYA,40.65,35.8333333,WEED,1,Very Low,,0.61960787,0.22745098
ANKARA,39.92077,32.85411,GRASS,2,Low,0.5176471,0.8117647,0.2
ANKARA,39.92077,32.85411,TREE,1,Very Low,,0.61960787,0.22745098
ANKARA,39.92077,32.85411,WEED,1,Very Low,,0.61960787,0.22745098
ANTALYA,36.88414,30.70563,GRASS,1,Very Low,,0.61960787,0.22745098
ANTALYA,36.88414,30.70563,TREE,1,Very Low,,0.61960787,0.22745098
ANTALYA,36.88414,30.70563,WEED,1,Very Low,,0.61960787,0.22745098
ARTVİN,41.1833333,41.8166667,GRASS,1,Very Low,,0.61960787,0.22745098
ARTVİN,41.1833333,41.8166667,TREE,1,Very Low,,0.61960787,0.22745098
ARTVİN,41.1833333,41.8166667,WEED,1,Very Low,,0.61960787,0.22745098
AYDIN,37.8444,27.8458,GRASS,2,Low,0.5176471,0.8117647,0.2
AYDIN,37.8444,27.8458,TREE,1,Very Low,,0.61960787,0.22745098
AYDIN,37.8444,27.8458,WEED,1,Very Low,,0.61960787,0.22745098
