CITY_NAME,COUNTRY,LAT,LON,TIME,temperature_2m,relative_humidity_2m,precipitation,snowfall,rain,cloud_cover,surface_pressure,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,sunshine_duration,pm10,pm2_5,carbon_dioxide,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,methane,uv_index,uv_index_clear_sky,dust
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T00:00,24.0,77,0.0,0.0,0.0,0,1006.6,8.0,42,26.7,0.133,0.0,23.4,18.3,491,156.0,4.9,1.1,60.0,0.31,1979.0,0.0,0.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T01:00,24.1,79,0.0,0.0,0.0,0,1006.1,6.9,37,26.7,0.13,0.0,22.0,16.5,490,152.0,4.2,1.0,59.0,0.32,1960.0,0.0,0.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T02:00,23.7,81,0.0,0.0,0.0,0,1005.9,8.2,36,26.4,0.13,0.0,21.6,17.4,483,151.0,4.4,0.9,53.0,0.33,1892.0,0.0,0.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T03:00,23.6,82,0.0,0.0,0.0,0,1005.8,8.8,44,26.1,0.13,0.0,21.2,16.4,474,151.0,4.4,1.5,49.0,0.36,1807.0,0.0,0.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T04:00,24.2,80,0.0,0.0,0.0,0,1005.6,8.8,44,25.9,0.13,17.73,21.2,16.8,462,151.0,4.8,2.1,50.0,0.39,1696.0,0.15,0.15,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T05:00,26.5,72,0.0,0.0,0.0,0,1005.8,7.9,30,26.6,0.13,3600.0,21.9,15.1,448,151.0,3.5,3.8,61.0,0.41,1568.0,0.7,0.75,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T06:00,28.8,62,0.0,0.0,0.0,0,1005.4,8.0,40,27.9,0.13,3600.0,22.1,14.7,438,151.0,3.7,4.1,66.0,0.4,1475.0,1.95,2.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T07:00,30.9,55,0.0,0.0,0.0,0,1005.4,5.7,28,29.7,0.13,3600.0,22.2,15.5,436,152.0,2.4,4.5,82.0,0.38,1447.0,3.9,3.9,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T08:00,32.5,52,0.0,0.0,0.0,0,1005.3,8.2,346,31.6,0.129,3600.0,21.0,18.0,437,153.0,1.8,3.6,93.0,0.39,1454.0,6.0,6.0,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T09:00,33.3,50,0.0,0.0,0.0,1,1005.3,11.1,331,33.4,0.128,3600.0,22.0,16.6,439,153.0,1.8,3.7,105.0,0.41,1463.0,7.65,7.65,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T10:00,34.2,48,0.0,0.0,0.0,4,1005.1,10.3,324,35.0,0.128,3600.0,27.4,22.6,439,157.0,1.8,5.1,117.0,0.44,1464.0,7.75,8.3,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T11:00,34.6,47,0.0,0.0,0.0,11,1004.7,9.7,320,36.2,0.127,3600.0,29.2,23.1,438,158.0,1.8,5.9,125.0,0.49,1466.0,7.05,7.7,1.0
İZMİR,MENEMEN,38.6,27.0666667,2025-08-06T12:00,34.7,46,0.0,0.0,0.0,10,1004.2,9.6,317,36.9,0.126,3600.0,27.4,20.0,438,155.0,2.0,4.9,125.0,0.49,1467.0,5.25,6.25,1.0
