iter	Accuracy	MultiClass
0	0.707	1.52277372
1	0.777	1.450056723
2	0.816	1.385279318
3	0.808	1.332204616
4	0.795	1.286160419
5	0.793	1.242273818
6	0.794	1.194742894
7	0.795	1.150118477
8	0.801	1.114053439
9	0.807	1.077679696
10	0.811	1.051895727
11	0.817	1.016380813
12	0.814	0.9890716054
13	0.826	0.9595791897
14	0.833	0.936194987
15	0.838	0.9102999077
16	0.831	0.891855438
17	0.836	0.8697169102
18	0.834	0.8533159805
19	0.841	0.8322512633
20	0.841	0.8103487579
21	0.845	0.7893791022
22	0.845	0.7733241946
23	0.844	0.7583323361
24	0.849	0.7461681483
25	0.853	0.7314983936
26	0.857	0.7205714279
27	0.856	0.7089554927
28	0.858	0.694920759
29	0.86	0.680972238
30	0.857	0.6703214123
31	0.857	0.6620252408
32	0.862	0.6518120156
33	0.863	0.643052044
34	0.867	0.632288052
35	0.87	0.6223855427
36	0.871	0.6144248085
37	0.869	0.6115534482
38	0.871	0.605739883
39	0.872	0.5983153158
40	0.873	0.5914433447
41	0.876	0.586271161
42	0.876	0.5798012756
43	0.876	0.5709311117
44	0.878	0.5632057952
45	0.878	0.5599430003
46	0.882	0.55194144
47	0.881	0.5456716418
48	0.884	0.5404119662
49	0.885	0.5352716561
50	0.888	0.5319623309
51	0.887	0.52448291
52	0.888	0.5210439199
53	0.89	0.5168542508
54	0.89	0.5116540639
55	0.89	0.5102332104
56	0.894	0.5059927461
57	0.894	0.504248217
58	0.893	0.5026371306
59	0.891	0.4993182214
60	0.899	0.4924158825
61	0.901	0.4886610931
62	0.897	0.4836299115
63	0.904	0.4785806097
64	0.902	0.4751099266
65	0.905	0.472990962
66	0.907	0.4690737141
67	0.907	0.4666186459
68	0.905	0.4615687986
69	0.905	0.4597732996
70	0.906	0.4562878392
71	0.906	0.4531531912
72	0.907	0.451733577
73	0.908	0.4472402111
74	0.908	0.4437258518
75	0.907	0.4415763115
76	0.91	0.4382428505
77	0.91	0.4372737314
78	0.912	0.4366443272
79	0.911	0.434334392
80	0.911	0.4324895638
81	0.912	0.4295282173
82	0.914	0.4270827988
83	0.913	0.4250462588
84	0.914	0.4216683637
85	0.915	0.4207299127
86	0.916	0.4193424091
87	0.917	0.4171245516
88	0.915	0.4151317
89	0.916	0.414453824
90	0.917	0.41250533
91	0.917	0.4120178375
92	0.917	0.4115970453
93	0.916	0.4096308484
94	0.919	0.4084756645
95	0.918	0.4079557618
96	0.917	0.4060292651
97	0.916	0.4055327111
98	0.917	0.4046083063
99	0.918	0.4029922444
