iter	Passed	Remaining
0	56	5567
1	57	2812
2	58	1885
3	59	1422
4	60	1144
5	61	960
6	62	828
7	63	730
8	64	653
9	65	590
10	66	538
11	67	495
12	68	458
13	69	427
14	70	400
15	71	375
16	72	354
17	73	334
18	74	317
19	75	300
20	76	286
21	76	272
22	77	260
23	78	248
24	79	238
25	80	228
26	81	219
27	82	211
28	83	203
29	83	195
30	84	188
31	85	182
32	86	175
33	87	169
34	88	163
35	89	158
36	89	153
37	90	148
38	91	143
39	92	139
40	93	135
41	94	130
42	95	126
43	96	122
44	97	118
45	98	115
46	98	111
47	99	108
48	100	104
49	101	101
50	102	98
51	103	95
52	104	92
53	105	89
54	106	86
55	106	84
56	107	81
57	108	78
58	109	76
59	110	73
60	111	71
61	111	68
62	112	66
63	113	63
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	118	50
70	119	48
71	120	46
72	121	44
73	123	43
74	124	41
75	124	39
76	125	37
77	126	35
78	127	33
79	128	32
80	129	30
81	130	28
82	130	26
83	131	25
84	132	23
85	133	21
86	134	20
87	135	18
88	135	16
89	136	15
90	137	13
91	138	12
92	139	10
93	139	8
94	140	7
95	141	5
96	142	4
97	142	2
98	143	1
99	144	0
